doc_id,text_type,text_source,text_title
A01,PRESS: REPORTAGE,Atlanta Constitution,Political Reportage
A02,PRESS: REPORTAGE,Dallas Morning News,Political Reportage
A03,PRESS: REPORTAGE,Chicago Tribune,Political Reportage
A04,PRESS: REPORTAGE,Christian Science Monitor,Political Reportage
A05,PRESS: REPORTAGE,Providence Journal,Political Reportage
A06,PRESS: REPORTAGE,Newark Evening News,Political Reportage
A07,PRESS: REPORTAGE,New York Times,Political Reportage
A08,PRESS: REPORTAGE,"Times-Picayune, New Orleans",Political Reportage
A09,PRESS: REPORTAGE,Philadelphia Inquirer,Political Reportage
A10,PRESS: REPORTAGE,"Oregonian, Portland",Political Reportage
A11,PRESS: REPORTAGE,"Sun, Baltimore",Sports Reportage
A12,PRESS: REPORTAGE,Dallas Morning News,Sports Reportage
A13,PRESS: REPORTAGE,Rocky Mountain News,Sports Reportage
A14,PRESS: REPORTAGE,New York Times,Sports Reportage.
A15,PRESS: REPORTAGE,St. Louis Post-Dispatch,Sports Reportage
A16,PRESS: REPORTAGE,Chicago Tribune,Society Reportage
A17,PRESS: REPORTAGE,Rocky Mountain News,Society Reportage
A18,PRESS: REPORTAGE,Philadelphia Inquirer,Society Reportage
A19,PRESS: REPORTAGE,"Sun, Baltimore",Spot News
A20,PRESS: REPORTAGE,Chicago Tribune,Spot News
A21,PRESS: REPORTAGE,Detroit News,Spot News
A22,PRESS: REPORTAGE,Atlanta Constitution,Spot News
A23,PRESS: REPORTAGE,"Oregonian, Portland",Spot News
A24,PRESS: REPORTAGE,Providence Journal,Spot News
A25,PRESS: REPORTAGE,San Francisco Chronicle,Spot News
A26,PRESS: REPORTAGE,Dallas Morning News,Financial Reportage
A27,PRESS: REPORTAGE,Los Angeles Times ,Financial Reportage
A28,PRESS: REPORTAGE,Wall Street Journal,Financial Reportage
A29,PRESS: REPORTAGE,Dallas Morning News,Cultural Reportage.
A30,PRESS: REPORTAGE,Los Angeles Times ,Cultural
A31,PRESS: REPORTAGE,Miami Herald,Cultural Reportage
A32,PRESS: REPORTAGE,San Francisco Chronicle,Cultural Reportage
A33,PRESS: REPORTAGE,Washington Post,Cultural Reportage
A34,PRESS: REPORTAGE,New York Times,News of the Week in Review
A35,PRESS: REPORTAGE,James J. Maguire,A Family Affair
A36,PRESS: REPORTAGE,William Gomberg,Unions and the Anti-Trust Laws
A37,PRESS: REPORTAGE,Time,National Affairs
A38,PRESS: REPORTAGE,Sports Illustrated,A Duel Golfers Will Never Forget
A39,PRESS: REPORTAGE,Newsweek,Sports
A40,PRESS: REPORTAGE,Time,People. Art & Education
A41,PRESS: REPORTAGE,Robert Wallace,This Is The Way It Came About
A42,PRESS: REPORTAGE,Newsweek,National Affairs
A43,PRESS: REPORTAGE,U. S. News & World Report,Better Times for Turnpikes; A Plan to Free U. S. Gold Supply
A44,PRESS: REPORTAGE,John Tebbel; Gilbert Chapman,Books Go Co-operative; Reading and the Free Society
B01,PRESS: EDITORIAL,Atlanta Constitution,Editorials
B02,PRESS: EDITORIAL,Christian Science Monitor,Editorials
B03,PRESS: EDITORIAL,Detroit News,Editorials
B04,PRESS: EDITORIAL,Miami Herald,Editorials
B05,PRESS: EDITORIAL,Newark Evening News,Editorials
B06,PRESS: EDITORIAL,St. Louis Post-Dispatch,Editorials
B07,PRESS: EDITORIAL,New York Times,Editorials
B08,PRESS: EDITORIAL,Atlanta Constitution,Columns
B09,PRESS: EDITORIAL,Christian Science Monitor,Columns
B10,PRESS: EDITORIAL,Sun. Baltimore,Columns
B11,PRESS: EDITORIAL,Los Angeles Times,Columns
B12,PRESS: EDITORIAL,Newark Evening News,Columns
B13,PRESS: EDITORIAL,"Times-Picayune, New Orleans",Columns
B14,PRESS: EDITORIAL,Atlanta Constitution,Columns
B15,PRESS: EDITORIAL,Providence Journal,Letters to the Editor
B16,PRESS: EDITORIAL,Chicago Tribune,Voice of the People
B17,PRESS: EDITORIAL,Newark Evening News,What Readers Have to Say
B18,PRESS: EDITORIAL,New York Times,Letters to the Times
B19,PRESS: EDITORIAL,Philadelphia Inquirer,The Voice of the People
B20,PRESS: EDITORIAL,Nation,Editorials
B21,PRESS: EDITORIAL,Gerald W. Johnson; James Deakin,The Cult of the Motor Car; How Much Fallout Can We Take
